"Monaco","199","","BDT 199 / month after"
"Mongolia","5.99","USD","US$5.99/month after"
"Montenegro","4.99","","Затем подписка будет стоить 4,99 $ в месяц"
"Montserrat","10.99","EUR","Daarna € 10,99 per maand"
"Morocco","5.99","MAD","US$5.99/month after"
"Mozambique","2.99","USD","2,99 $US/mois ensuite"
"Nepal","5.49","EUR","€5.49/month after"
"Netherlands","4.99","USD","4,99 $US/mois ensuite"
"New Caledonia","10.99","EUR","Después, 10,99 €/mes"
"New Zealand","2.99","NZD","Depois, 2,99 US$/mês"
"Nigeria","5.99","NGN","US$5.99/month after"
"Niue","2,499","","Después, cuesta $ 2.499*** al mes"
"Norfolk Island","4.99","USD","US$4.99/month after"
"Norway","13.99","NOK","A$13.99 / month after"
"Pakistan","4.99","PKR","Sonra aylıq 4,99 US$"
"Palau","5.99","USD","US$5.99/month after"
"Palestinian Territory, Occupied","4.99","USD","US$4.99/month after"
"Panama","199","","BDT 199 / month after"
"Papua New Guinea","5.99","USD","US$5.99/month after"
"Paraguay","4.99","","Затем подписка будет стоить 4,99 $ в месяц"
"Peru","10.99","PEN","Daarna € 10,99 per maand"
"Philippines","5.99","PHP","US$5.99/month after"
"Pitcairn","2.99","USD","2,99 $US/mois ensuite"
"Reunion","5.49","EUR","€5.49/month after"
"Romania","4.99","RON","4,99 $US/mois ensuite"
"Rwanda","10.99","EUR","Después, 10,99 €/mes"
"Saint Barthelemy","2.99","USD","Depois, 2,99 US$/mês"
"Saint Lucia","5.99","USD","US$5.99/month after"
"Saint Martin","2,499","","Después, cuesta $ 2.499*** al mes"
"Saint Pierre and Miquelon","4.99","USD","US$4.99/month after"
"Samoa","13.99","","A$13.99 / month after"
"San Marino","10.99","EUR","Danach 10,99 €/Monat"
"Sao Tome and Principe","4.99","USD","Sonra aylıq 4,99 US$"
"Senegal","4.99","USD","US$4.99/month after"
"Serbia","199","","BDT 199 / month after"
"Seychelles","5.99","USD","US$5.99/month after"
"Sierra Leone","4.99","","Затем подписка будет стоить 4,99 $ в месяц"
"Singapore","10.99","SGD","Daarna € 10,99 per maand"
"Slovakia","5.99","USD","US$5.99/month after"
"Slovenia","2.99","USD","2,99 $US/mois ensuite"
"South Africa","5.49","ZAR","€5.49/month after"
"South Georgia and the Sandwich Islands","4.99","USD","4,99 $US/mois ensuite"
"Sri Lanka","10.99","LKR","Después, 10,99 €/mes"
"Sudan","2.99","USD","Depois, 2,99 US$/mês"
"Swaziland","5.99","USD","US$5.99/month after"
"Sweden","2,499","SEK","Después, cuesta $ 2.499*** al mes"
"Switzerland","4.99","CHF","US$4.99/month after"
"Taiwan","13.99","TWD","A$13.99 / month after"
"Tajikistan","10.99","USD","Danach 10,99 €/Monat"
"Tanzania","4.99","TZS","Sonra aylıq 4,99 US$"
"Thailand","5.99","THB","US$5.99/month after"
"Timor-Leste","4.99","USD","US$4.99/month after"
"Togo","199","","BDT 199 / month after"
"Tokelau","5.99","USD","US$5.99/month after"
"Tonga","4.99","","Затем подписка будет стоить 4,99 $ в месяц"
"Trinidad and Tobago","10.99","EUR","Daarna € 10,99 per maand"
"Tunisia","5.99","TND","US$5.99/month after"
"Turkey","2.99","TRY","2,99 $US/mois ensuite"
"Turks and Caicos Islands","2.99","USD","US$2.99/month after"
"Tuvalu","5.99","AUD","Después, 5,99 US$/mes"
"Uganda","5.49","UGX","€5.49 / month after"
"Ukraine","2.99","USD","US$2.99/month after"
"United Kingdom","21.90","GBP","Depois é só R$ 21,90/mês"
"United States Outlying Islands","6.99","USD","US$6.99/month after"
"Uruguay","9.99","","9,99 лв./месец след това"
"Uzbekistan","2.99","USD","2,99 $US/mois ensuite"
"Vanuatu","2.99","USD","2,99 $US/mois ensuite"
"Venezuela","2.99","USD","US$2.99/month after"
"Viet Nam","2.99","USD","2,99 $US/mois ensuite"
"Virgin Islands, British","12.69","","CA$12.69 / month after. Cancel anytime."
"Virgin Islands, U.S.","2.99","USD","Depois, 2,99 US$/mês"
"Yemen","2.99","USD","2,99 $US/mois ensuite"
"Zambia","4550","USD","Después, 4550 CLP/mes"
